"1","1",بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ,"1","1","1","1","1","0","2018-06-07 08:06:54","2018-06-07 08:06:54"
"2","2","ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَٰلَمِينَ","2","1","1","1","1","0","2018-06-07 08:06:54","2018-06-07 08:06:54"
"3","3","ٱلرَّحْمَٰنِ ٱلرَّحِيمِ","3","1","1","1","1","0","2018-06-07 08:06:54","2018-06-07 08:06:54"
"4","4","مَٰلِكِ يَوْمِ ٱلدِّينِ","4","1","1","1","1","0","2018-06-07 08:06:54","2018-06-07 08:06:54"
"5","5","إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ","5","1","1","1","1","0","2018-06-07 08:06:54","2018-06-07 08:06:54"
"6","6","ٱهْدِنَا ٱلصِّرَٰطَ ٱلْمُسْتَقِيمَ","6","1","1","1","1","0","2018-06-07 08:06:54","2018-06-07 08:06:54"
"7","7","صِرَٰطَ ٱلَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِمْ وَلَا ٱلضَّآلِّينَ","7","1","1","1","1","0","2018-06-07 08:06:54","2018-06-07 08:06:54"
"8","8","بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ الٓمٓ","1","2","2","1","1","0","2018-06-07 08:06:54","2018-06-07 08:06:54"
"9","9","ذَٰلِكَ ٱلْكِتَٰبُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًۭى لِّلْمُتَّقِينَ","2","2","2","1","1","0","2018-06-07 08:06:54","2018-06-07 08:06:54"
"10","10","ٱلَّذِينَ يُؤْمِنُونَ بِٱلْغَيْبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقْنَٰهُمْ يُنفِقُونَ","3","2","2","1","1","0","2018-06-07 08:06:54","2018-06-07 08:06:54"
"11","11","وَٱلَّذِينَ يُؤْمِنُونَ بِمَآ أُنزِلَ إِلَيْكَ وَمَآ أُنزِلَ مِن قَبْلِكَ وَبِٱلْءَاخِرَةِ هُمْ يُوقِنُونَ","4","2","2","1","1","0","2018-06-07 08:06:54","2018-06-07 08:06:54"
"12","12","أُو۟لَٰٓئِكَ عَلَىٰ هُدًۭى مِّن رَّبِّهِمْ ۖ وَأُو۟لَٰٓئِكَ هُمُ ٱلْمُفْلِحُونَ","5","2","2","1","1","0","2018-06-07 08:06:54","2018-06-07 08:06:54"
"13","13","إِنَّ ٱلَّذِينَ كَفَرُوا۟ سَوَآءٌ عَلَيْهِمْ ءَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ","6","3","2","1","1","0","2018-06-07 08:06:54","2018-06-07 08:06:54"
"14","14","خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰٓ أَبْصَٰرِهِمْ غِشَٰوَةٌۭ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌۭ","7","3","2","1","1","0","2018-06-07 08:06:54","2018-06-07 08:06:54"
"15","15","وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلْيَوْمِ ٱلْءَاخِرِ وَمَا هُم بِمُؤْمِنِينَ","8","3","2","1","1","0","2018-06-07 08:06:54","2018-06-07 08:06:54"
"16","16","يُخَٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُوا۟ وَمَا يَخْدَعُونَ إِلَّآ أَنفُسَهُمْ وَمَا يَشْعُرُونَ","9","3","2","1","1","0","2018-06-07 08:06:54","2018-06-07 08:06:54"
"17","17","فِى قُلُوبِهِم مَّرَضٌۭ فَزَادَهُمُ ٱللَّهُ مَرَضًۭا ۖ وَلَهُمْ عَذَابٌ أَلِيمٌۢ بِمَا كَانُوا۟ يَكْذِبُونَ","10","3","2","1","1","0","2018-06-07 08:06:54","2018-06-07 08:06:54"
"18","18","وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا۟ فِى ٱلْأَرْضِ قَالُوٓا۟ إِنَّمَا نَحْنُ مُصْلِحُونَ","11","3","2","1","1","0","2018-06-07 08:06:54","2018-06-07 08:06:54"
"19","19","أَلَآ إِنَّهُمْ هُمُ ٱلْمُفْسِدُونَ وَلَٰكِن لَّا يَشْعُرُونَ","12","3","2","1","1","0","2018-06-07 08:06:54","2018-06-07 08:06:54"
